127.0.0.1, 2019-08-18 18:02:11, GET, /, HTTP/1.1, 303, 15.006164
127.0.0.1, 2019-08-18 18:02:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.234776
127.0.0.1, 2019-08-18 18:02:12, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000607
127.0.0.1, 2019-08-18 18:02:12, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000604
127.0.0.1, 2019-08-18 18:02:12, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001166
127.0.0.1, 2019-08-18 18:02:12, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000673
127.0.0.1, 2019-08-18 18:02:12, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002054
127.0.0.1, 2019-08-18 18:02:12, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002617
127.0.0.1, 2019-08-18 18:02:12, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001239
127.0.0.1, 2019-08-18 18:02:12, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002120
127.0.0.1, 2019-08-18 18:02:12, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001166
127.0.0.1, 2019-08-18 18:02:12, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000262
127.0.0.1, 2019-08-18 18:02:12, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000392
127.0.0.1, 2019-08-18 18:06:31, GET, /, HTTP/1.1, 303, 15.012732
127.0.0.1, 2019-08-18 18:06:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.113879
127.0.0.1, 2019-08-18 18:06:31, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000294
127.0.0.1, 2019-08-18 18:08:35, GET, /examples/default/index, HTTP/1.1, 200, 0.009705
127.0.0.1, 2019-08-18 18:08:35, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.001086
127.0.0.1, 2019-08-18 18:08:35, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001701
127.0.0.1, 2019-08-18 18:08:35, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.001590
